IPA Segment,category
+,X
a,V
aˑ,V
b,T
bʲ,T
d,T
dʲ,T
eː,V
eˑ,V
f,X
fʲ,X
g,T
gʲ,X
i,V
iː,V
j,R
k,T
kʲ,T
lʲ,R
lˠ,R
lˠˑ,R
m,R
mʲ,R
mˑ,R
n,R
nʲ,R
nˑ,R
o,V
oː,V
p,T
pʲ,T
r,R
rʲ,R
rˑ,R
s,S
sʲ,S
t,T
tʃʲ,X
tʲ,T
u,V
uə,V
uː,V
z,S
æː,V
æˑ,V
ò,V
ɐ,V
ɐɪˑ,V
ɑ,V
ɑː,V
ɒʊˑ,V
ə,V
ɛ,V
ɛɪˑ,V
ɛʊˑ,V
ɪ,V
ɪu,V
ɪuː,V
ʃ,S
ʃʲ,S
ʊ,V
ʊɪˑ,V
ʋ,R
ʋʲ,R
ʒ,S
ʒʲ,S
