ID,Parameter_ID,Value,Segments,SegmentStructure,ConVoStructure
lit-244_nation-1,244_nation,tauta,t ɒʊˑ t ɑ,T V T V,C V C V
lit-245_work-1,245_work,darbas,d aˑ r b ɐ s,T V R T V S,C V C C V C
lit-245_work-2,245_work,triūsas,t rʲ ɪ uː s ɐ s,T R V V S V S,C C V V C V C
lit-246_guest-1,246_guest,svečias,s ʋ ɛ tʃʲ ɛ s,S R V X V S,C C V C V C
lit-247_gift-1,247_gift,dovana,d o ʋ ɐ n ɑ,T V R V R V,C V C V C V
lit-248_game-1,248_game,žaismas,ʒ ɐɪˑ s m ɐ s,S V S R V S,C V C C V C
lit-248_game-2,248_game,žaidimas,ʒ ɐɪˑ dʲ ɪ m ɐ s,S V T V R V S,C V C V C V C
lit-249_company-1,249_company,draugija,d r ɒʊˑ gʲ ɪ j ɑ,T R V T V R V,C C V C V C V
lit-249_company-2,249_company,kompanija,k o m p a nʲ ɪ j ɐ,T V R T V R V R V,C V C C V C V C V
lit-250_help-1,250_help,pagalba,p ɐ g aˑ lˠ b ɐ,T V T V R T V,C V C V C C V
lit-251_friend-1,251_friend,draugas,d r ɒʊˑ g ɐ s,T R V T V S,C C V C V C
lit-251_friend-2,251_friend,bičiulis,bʲ ɪ tʃʲ ɪ ʊ lʲ ɪ s,T V X V V R V S,C V C V V C V C
lit-252_companion-1,252_companion,draugas,d r ɒʊˑ g ɐ s,T R V T V S,C C V C V C
lit-253_matter-1,253_matter,dalykas,d ɐ lˠ iː k ɐ s,T V R V T V S,C V C V C V C
lit-253_matter-2,253_matter,reikalas,r ɛɪˑ k ɐ lˠ ɐ s,R V T V R V S,C V C V C V C
lit-254_count-1,254_count,kiekis,k i ə kʲ ɪ s,T V V T V S,C V V C V C
lit-254_count-2,254_count,skaičius,s k ɐɪˑ tʃʲ ɪ ʊ s,S T V X V V S,C C V C V V C
lit-255_sort-1,255_sort,rūšis,r uː ʃʲ ɪ s,R V S V S,C V C V C
lit-256_piece-1,256_piece,gabalas,g a b ɐ lˠ ɐ s,T V T V R V S,C V C V C V C
lit-257_part-1,257_part,dalis,d ɐ lʲ ɪ s,T V R V S,C V C V C
lit-258_half-1,258_half,pusė,p ʊ s eː,T V S V,C V C V
lit-259_circle-1,259_circle,ratas,r a t ɐ s,R V T V S,C V C V C
lit-259_circle-2,259_circle,apskritis,ɐ p s k rʲ ɪ tʲ ɪ s,V T S T R V T V S,V C C C C V C V C
lit-259_circle-3,259_circle,apskritimas,ɐ p s k rʲ ɪ tʲ ɪ m ɐ s,V T S T R V T V R V S,V C C C C V C V C V C
lit-260_cross-1,260_cross,kryžius,k r iː ʒʲ ɪ ʊ s,T R V S V V S,C C V C V V C
lit-261_line-1,261_line,linija,lʲ ɪ nʲ ɪ j ɐ,R V R V R V,C V C V C V
lit-262_stroke-1,262_stroke,brėžis,b r eː ʒʲ ɪ s,T R V S V S,C C V C V C
lit-262_stroke-2,262_stroke,brūkšnys,b r uː k ʃ n iː s,T R V T S R V S,C C V C C C V C
lit-263_gap-1,263_gap,atstumas,ɐ t s t ʊ m ɐ s,V T S T V R V S,V C C C V C V C
lit-264_distance-1,264_distance,atstumas,ɐ t s t ʊ m ɐ s,V T S T V R V S,V C C C V C V C
lit-265_area-1,265_area,vietovė,ʋ i ə t oː ʋ eː,R V V T V R V,C V V C V C V
lit-266_space-1,266_space,vieta,ʋ i ə t ɑ,R V V T V,C V V C V
lit-267_place-1,267_place,vieta,ʋ i ə t ɑ,R V V T V,C V V C V
lit-267_place-2,267_place,vietovė,ʋ i ə t oː ʋ eː,R V V T V R V,C V V C V C V
lit-268_side-1,268_side,pusė,p ʊ s eː,T V S V,C V C V
lit-268_side-2,268_side,šonas,ʃ oː n ɐ s,S V R V S,C V C V C
lit-269_middle-1,269_middle,vidurys,ʋʲ ɪ d ʊ r iː s,R V T V R V S,C V C V C V C
lit-270_item-1,270_item,dalykas,d ɐ lˠ iː k ɐ s,T V R V T V S,C V C V C V C
lit-271_thing-1,271_thing,daiktas,d aˑ j ɪ k t ɐ s,T V R V T T V S,C V C V C C V C
lit-272_fringe-1,272_fringe,kraštas,k r a ʃ t ɐ s,T R V S T V S,C C V C C V C
lit-272_fringe-2,272_fringe,pakraštys,p ɐ k r ɐ ʃ t iː s,T V T R V S T V S,C V C C V C C V C
lit-273_edge-1,273_edge,kraštas,k r a ʃ t ɐ s,T R V S T V S,C C V C C V C
lit-274_corner-1,274_corner,kertė,k ɛ r t eː,T V R T V,C V C C V
lit-274_corner-2,274_corner,kampas,k ɐ mˑ p ɐ s,T V R T V S,C V C C V C
lit-275_tip-1,275_tip,priekis,p r i ə kʲ ɪ s,T R V V T V S,C C V V C V C
lit-275_tip-2,275_tip,priešakys,p r i ə ʃ ɐ k iː s,T R V V S V T V S,C C V V C V C V C
lit-276_end-1,276_end,galas,g a lˠ ɐ s,T V R V S,C V C V C
lit-277_hole-1,277_hole,skylė,s kʲ iː lˠ eː,S T V R V,C C V C V
lit-278_angle-1,278_angle,kampas,k ɐ mˑ p ɐ s,T V R T V S,C V C C V C
lit-278_angle-2,278_angle,kampelis,k ɐ m p ɛ lʲ ɪ s,T V R T V R V S,C V C C V C V C
lit-279_pattern-1,279_pattern,raštas,r a ʃ t ɐ s,R V S T V S,C V C C V C
lit-280_size-1,280_size,dydis,d iː dʲ ɪ s,T V T V S,C V C V C
lit-280_size-2,280_size,didumas,dʲ ɪ d ʊ m ɐ s,T V T V R V S,C V C V C V C
lit-281_length-1,281_length,ilgis,ɪ lˠˑ gʲ ɪ s,V R T V S,V C C V C
lit-281_length-2,281_length,ilgumas,ɪ lˠ g ʊ m ɐ s,V R T V R V S,V C C V C V C
lit-282_height-1,282_height,aukštis,ɒʊˑ k ʃ tʲ ɪ s,V T S T V S,V C C C V C
lit-282_height-2,282_height,aukštuma,ɒʊˑ k ʃ t ʊ m ɑ,V T S T V R V,V C C C V C V
lit-283_weight-1,283_weight,svoris,s ʋ oː rʲ ɪ s,S R V R V S,C C V C V C
lit-283_weight-2,283_weight,svarstis,s ʋ ɐ rˑ s tʲ ɪ s,S R V R S T V S,C C V C C C V C
lit-284_amount-1,284_amount,kiekis,k i ə kʲ ɪ s,T V V T V S,C V V C V C
lit-284_amount-2,284_amount,daugybė,d ɒʊˑ g iː b eː,T V T V T V,C V C V C V
lit-285_heap-1,285_heap,krūva,k r uː ʋ ɑ,T R V R V,C C V C V
lit-285_heap-2,285_heap,šūsnis,ʃ uː s nʲ ɪ s,S V S R V S,C V C C V C
lit-286_row-1,286_row,greta,g r ɛ t ɑ,T R V T V,C C V C V
lit-287_boat-1,287_boat,valtis,ʋ aˑ lˠ tʲ ɪ s,R V R T V S,C V C C V C
lit-287_boat-2,287_boat,laivelis,lˠ ɐɪˑ ʋ ɛ lʲ ɪ s,R V R V R V S,C V C V C V C
lit-288_oar-1,288_oar,irklas,ɪ r k lˠ ɐ s,V R T R V S,V C C C V C
lit-289_sleigh-1,289_sleigh,rogės,r oː g eː s,R V T V S,C V C V C
lit-289_sleigh-2,289_sleigh,rogutės,r o g ʊ t eː s,R V T V T V S,C V C V C V C
lit-290_ski-1,290_ski,slidė,s lʲ ɪ d eː,S R V T V,C C V C V
lit-291_campfire-1,291_campfire,laužas,lˠ aˑ ʊ ʒ ɐ s,R V V S V S,C V V C V C
lit-292_load-1,292_load,našta,n ɐ ʃ t ɑ,R V S T V,C V C C V
lit-292_load-2,292_load,nešulys,n ɛ ʃ ʊ lˠ iː s,R V S V R V S,C V C V C V C
lit-293_walk-1,293_walk,eisena,ɛɪˑ s ɛ n ɐ,V S V R V,V C V C V
lit-294_step-1,294_step,žingsnis,ʒʲ ɪ nˑ g s nʲ ɪ s,S V R T S R V S,C V C C C C V C
lit-295_north-1,295_north,šiaurė,ʃʲ ɪ aˑ ʊ r eː,S V V V R V,C V V V C V
lit-295_north-2,295_north,žiemiai,ʒ i ə mʲ ɛɪˑ,S V V R V,C V V C V
lit-296_south-1,296_south,pietūs,p i ə t uː s,T V V T V S,C V V C V C
lit-297_west-1,297_west,vakarai,ʋ ɐ k ɐ r ɐɪˑ,R V T V R V,C V C V C V
lit-298_east-1,298_east,rytai,rʲ iː t ɐɪˑ,R V T V,C V C V
lit-299_wood-1,299_wood,mediena,m ɛ d i ə n ɐ,R V T V V R V,C V C V V C V
lit-300_board-1,300_board,lenta,lˠ ɛ n t ɑ,R V R T V,C V C C V
lit-301_slab-1,301_slab,plokštė,p lˠ oː k ʃ t eː,T R V T S T V,C C V C C C V
lit-302_supportrest-1,302_supportrest,atrama,ɐ t r ɐ m ɑ,V T R V R V,V C C V C V
lit-302_supportrest-2,302_supportrest,atspara,ɐ t s p ɐ r ɑ,V T S T V R V,V C C C V C V
lit-303_pole-1,303_pole,lazda,lˠ ɐ z d ɑ,R V S T V,C V C C V
lit-303_pole-2,303_pole,kartis,k aˑ r tʲ ɪ s,T V R T V S,C V C C V C
lit-304_stick-1,304_stick,lazda,lˠ ɐ z d ɑ,R V S T V,C V C C V
lit-305_staff-1,305_staff,kartis,k aˑ r tʲ ɪ s,T V R T V S,C V C C V C
lit-306_pipe-1,306_pipe,vamzdis,ʋ ɐ mˑ z dʲ ɪ s,R V R S T V S,C V C C C V C
lit-307_house-1,307_house,namas,n a m ɐ s,R V R V S,C V C V C
lit-308_home-1,308_home,namai,n ɐ m ɐɪˑ,R V R V,C V C V
lit-309_stove-1,309_stove,krosnis,k r oː s nʲ ɪ s,T R V S R V S,C C V C C V C
lit-310_floor-1,310_floor,grindys,g rʲ ɪ nˑ dʲ iː s,T R V R T V S,C C V C C V C
lit-311_table-1,311_table,stalas,s t a lˠ ɐ s,S T V R V S,C C V C V C
lit-312_chair-1,312_chair,kėdė,k eː d eː,T V T V,C V C V
lit-313_cradle-1,313_cradle,lopšys,lˠ o p ʃ iː s,R V T S V S,C V C C V C
lit-314_bed-1,314_bed,lova,lˠ oː ʋ ɐ,R V R V,C V C V
lit-314_bed-2,314_bed,patalai,p ɐ t ɐ lˠ ɐɪˑ,T V T V R V,C V C V C V
lit-315_shelf-1,315_shelf,lentyna,lˠ ɛ n t iː n ɐ,R V R T V R V,C V C C V C V
lit-316_box-1,316_box,dėžė,d eː ʒ eː,T V S V,C V C V
lit-317_window-1,317_window,langas,lˠ aˑ n g ɐ s,R V R T V S,C V C C V C
lit-318_door-1,318_door,durys,d ʊ rʲ iː s,T V R V S,C V C V C
lit-319_gate-1,319_gate,vartai,ʋ ɐ rˑ t ɐɪˑ,R V R T V,C V C C V
lit-320_fence-1,320_fence,tvora,t ʋ o r ɑ,T R V R V,C C V C V
lit-321_roof-1,321_roof,stogas,s t oː g ɐ s,S T V T V S,C C V C V C
lit-322_ladder-1,322_ladder,kopėčios,k oː p eː tʃʲ ɪ o s,T V T V X V V S,C V C V C V V C
lit-323_broom-1,323_broom,šluota,ʃ lˠ u ə t ɐ,S R V V T V,C C V V C V
lit-324_spade-1,324_spade,lopeta,lˠ oː p ɛ t ɐ,R V T V T V,C V C V C V
lit-324_spade-2,324_spade,kastuvas,k ɐ s t ʊ ʋ ɐ s,T V S T V R V S,C V C C V C V C
lit-325_shovel-1,325_shovel,semtuvas,s ɛ m t ʊ ʋ ɐ s,S V R T V R V S,C V C C V C V C
lit-326_fork-1,326_fork,šakutė,ʃ ɐ k ʊ t eː,S V T V T V,C V C V C V
lit-327_spoon-1,327_spoon,šaukštas,ʃ aˑ ʊ k ʃ t ɐ s,S V V T S T V S,C V V C C C V C
lit-328_knife-1,328_knife,peilis,p ɛɪˑ lʲ ɪ s,T V R V S,C V C V C
lit-329_nail-1,329_nail,vinis,ʋʲ ɪ nʲ ɪ s,R V R V S,C V C V C
lit-330_net-1,330_net,tinklas,tʲ ɪ nˑ k lˠ ɐ s,T V R T R V S,C V C C C V C
lit-331_hook-1,331_hook,vagis,ʋ a gʲ ɪ s,R V T V S,C V C V C
lit-331_hook-2,331_hook,kablys,k ɐ b lˠ iː s,T V T R V S,C V C C V C
lit-332_handle-1,332_handle,kotas,k oː t ɐ s,T V T V S,C V C V C
lit-332_handle-2,332_handle,rankena,r ɐ nˑ k ɛ n ɐ,R V R T V R V,C V C C V C V
lit-333_lock-1,333_lock,spyna,s pʲ iː n ɑ,S T V R V,C C V C V
lit-333_lock-2,333_lock,užraktas,ʊ ʒ r ɐ k t ɐ s,V S R V T T V S,V C C V C C V C
lit-334_picture-1,334_picture,paveikslas,p ɐ ʋ æˑ j ɪ k s lˠ ɐ s,T V R V R V T S R V S,C V C V C V C C C V C
lit-335_figure-1,335_figure,figūra,fʲ ɪ g uː r ɑ,X V T V R V,C V C V C V
lit-336_doll-1,336_doll,lėlė,lˠ eː lˠ eː,R V R V,C V C V
lit-337_pouch-1,337_pouch,krepšys,k r ɛ p ʃ iː s,T R V T S V S,C C V C C V C
lit-337_pouch-2,337_pouch,maišelis,m ɐɪˑ ʃ ɛ lʲ ɪ s,R V S V R V S,C V C V C V C
lit-338_bundle-1,338_bundle,ryšulys,rʲ iː ʃ ʊ lˠ iː s,R V S V R V S,C V C V C V C
lit-339_bag-1,339_bag,krepšelis,k r ɛ p ʃ ɛ lʲ ɪ s,T R V T S V R V S,C C V C C V C V C
lit-340_bucket-1,340_bucket,kibiras,kʲ ɪ bʲ ɪ r ɐ s,T V T V R V S,C V C V C V C
lit-341_coverlid-1,341_coverlid,dangtis,d ɐ nˑ g tʲ ɪ s,T V R T T V S,C V C C C V C
lit-342_dishes-1,342_dishes,indai,ɪ nˑ d ɐɪˑ,V R T V,V C C V
lit-343_sack-1,343_sack,maišas,m ɐɪˑ ʃ ɐ s,R V S V S,C V C V C
lit-344_cup-1,344_cup,puodukas,p uə d ʊ k ɐ s,T V T V T V S,C V C V C V C
lit-345_pot-1,345_pot,puodas,p u ə d ɐ s,T V V T V S,C V V C V C
lit-346_kettle-1,346_kettle,katilas,k a tʲ ɪ lˠ ɐ s,T V T V R V S,C V C V C V C
lit-347_meal-1,347_meal,valgis,ʋ ɐ lˠˑ gʲ ɪ s,R V R T V S,C V C C V C
lit-348_food-1,348_food,penas,p ɛ n ɐ s,T V R V S,C V C V C
lit-348_food-2,348_food,maistas,m ɐɪˑ s t ɐ s,R V S T V S,C V C C V C
lit-349_dish-1,349_dish,patiekalas,p a t i ə k ɐ lˠ ɐ s,T V T V V T V R V S,C V C V V C V C V C
lit-350_meat-1,350_meat,mėsa,m eː s ɑ,R V S V,C V C V
lit-351_corn-1,351_corn,javai,j ɐ ʋ ɐɪˑ,R V R V,C V C V
lit-352_mush-1,352_mush,košė,k oː ʃ eː,T V S V,C V C V
lit-353_bread-1,353_bread,duona,d u ə n ɐ,T V V R V,C V V C V
lit-354_slice-1,354_slice,riekė,r i ə k eː,R V V T V,C V V C V
lit-355_fat-1,355_fat,taukai,t ɒʊˑ k ɐɪˑ,T V T V,C V C V
lit-355_fat-2,355_fat,riebalai,r i ə b ɐ lˠ ɐɪˑ,R V V T V R V,C V V C V C V
lit-356_butter-1,356_butter,sviestas,s ʋ i ə s t ɐ s,S R V V S T V S,C C V V C C V C
lit-357_oil-1,357_oil,aliejus,ɐ lˠ i ə j ʊ s,V R V V R V S,V C V V C V C
lit-358_salt-1,358_salt,druska,d r ʊ s k ɑ,T R V S T V,C C V C C V
lit-359_soup-1,359_soup,sriuba,s rʲ ɪ ʊ b ɑ,S R V V T V,C C V V C V
lit-360_honey-1,360_honey,medus,m ɛ d ʊ s,R V T V S,C V C V C
lit-361_milk-1,361_milk,pienas,p i ə n ɐ s,T V V R V S,C V V C V C
lit-362_tea-1,362_tea,arbata,ɐ r b ɐ t ɑ,V R T V T V,V C C V C V
lit-363_leather-1,363_leather,oda,oː d ɐ,V T V,V C V
lit-364_wool-1,364_wool,vilna,ʋʲ ɪ lˠ n ɐ,R V R R V,C V C C V
lit-365_cloth-1,365_cloth,audeklas,aˑ ʊ d ɛ k lˠ ɐ s,V V T V T R V S,V V C V C C V C
lit-366_needle-1,366_needle,adata,a d ɐ t ɐ,V T V T V,V C V C V
lit-367_thread-1,367_thread,gija,gʲ ɪ j ɑ,T V R V,C V C V
lit-367_thread-2,367_thread,siūlas,sʲ ɪ uː lˠ ɐ s,S V V R V S,C V V C V C
lit-368_button-1,368_button,saga,s ɐ g ɑ,S V T V,C V C V
lit-369_knot-1,369_knot,mazgas,m a z g ɐ s,R V S T V S,C V C C V C
lit-370_paint-1,370_paint,dažai,d ɐ ʒ ɐɪˑ,T V S V,C V C V
lit-371_clothes-1,371_clothes,rūbai,r uː b ɐɪˑ,R V T V,C V C V
lit-371_clothes-2,371_clothes,drabužiai,d r ɐ b ʊ ʒʲ ɛɪˑ,T R V T V S V,C C V C V C V
lit-372_shirt-1,372_shirt,marškiniai,m ɐ r ʃ kʲ ɪ nʲ ɛɪˑ,R V R S T V R V,C V C C C V C V
lit-373_collar-1,373_collar,apykaklė,ɐ p iː k ɐ k lˠ eː,V T V T V T R V,V C V C V C C V
lit-374_sleeve-1,374_sleeve,rankovė,r ɐ n k oː ʋ eː,R V R T V R V,C V C C V C V
lit-375_trousers-1,375_trousers,kelnės,k eˑ lˠ n eː s,T V R R V S,C V C C V C
lit-376_belt-1,376_belt,juosta,j u ə s t ɐ,R V V S T V,C V V C C V
lit-376_belt-2,376_belt,diržas,dʲ ɪ rˑ ʒ ɐ s,T V R S V S,C V C C V C
lit-377_cap-1,377_cap,kepurė,k ɛ p ʊ r eː,T V T V R V,C V C V C V
lit-378_shoe-1,378_shoe,batas,b a t ɐ s,T V T V S,C V C V C
lit-379_boot-1,379_boot,auliniai batai,ɒʊˑ lʲ ɪ nʲ ɛɪˑ + b a t ɐɪˑ,V R V R V X T V T V,V C V C V X C V C V
lit-380_ring-1,380_ring,žiedas,ʒ i ə d ɐ s,S V V T V S,C V V C V C
lit-381_ribbon-1,381_ribbon,kaspinas,k a s pʲ ɪ n ɐ s,T V S T V R V S,C V C C V C V C
lit-382_comb-1,382_comb,šukos,ʃ ʊ k o s,S V T V S,C V C V C
lit-383_mirror-1,383_mirror,veidrodis,ʋ æˑ j ɪ d r o dʲ ɪ s,R V R V T R V T V S,C V C V C C V C V C
lit-384_strap-1,384_strap,diržas,dʲ ɪ rˑ ʒ ɐ s,T V R S V S,C V C C V C
lit-385_string-1,385_string,virvė,ʋʲ ɪ rˑ ʋ eː,R V R R V,C V C C V
lit-386_leash-1,386_leash,pavadėlis,p ɐ ʋ ɐ d eː lʲ ɪ s,T V R V T V R V S,C V C V C V C V C
lit-387_blanket-1,387_blanket,antklodė,ɐ nˑ t k lˠ o d eː,V R T T R V T V,V C C C C V C V
lit-388_pillow-1,388_pillow,pagalvė,p ɐ g aˑ lˠ ʋ eː,T V T V R R V,C V C V C C V
lit-388_pillow-2,388_pillow,priegalvis,p r i ə g ɐ lˠ ʋʲ ɪ s,T R V V T V R R V S,C C V V C V C C V C
lit-389_scarf-1,389_scarf,skarelė,s k ɐ r ɛ lˠ eː,S T V R V R V,C C V C V C V
lit-390_towel-1,390_towel,rankšluostis,r ɐ nˑ k ʃ lˠ uə s tʲ ɪ s,R V R T S R V S T V S,C V C C C C V C C V C
lit-391_force-1,391_force,jėga,j eː g ɑ,R V T V,C V C V
lit-392_strength-1,392_strength,stiprumas,s tʲ ɪ p r ʊ m ɐ s,S T V T R V R V S,C C V C C V C V C
lit-393_health-1,393_health,sveikata,s ʋ ɛɪˑ k ɐ t ɑ,S R V T V T V,C C V C V C V
lit-394_illness-1,394_illness,liga,lʲ ɪ g ɑ,R V T V,C V C V
lit-395_pain-1,395_pain,skausmas,s k ɒʊˑ s m ɐ s,S T V S R V S,C C V C C V C
lit-396_wound-1,396_wound,žaizda,ʒ ɐɪˑ z d ɑ,S V S T V,C V C C V
lit-397_fever-1,397_fever,karštis,k ɐ rˑ ʃ tʲ ɪ s,T V R S T V S,C V C C C V C
lit-398_medicine-1,398_medicine,vaistas,ʋ aˑ j ɪ s t ɐ s,R V R V S T V S,C V C V C C V C
lit-399_bridge-1,399_bridge,tiltas,tʲ ɪ lˠ t ɐ s,T V R T V S,C V C C V C
lit-400_well-1,400_well,šulinys,ʃ ʊ lʲ ɪ n iː s,S V R V R V S,C V C V C V C
lit-401_pasture-1,401_pasture,ganykla,g ɐ nʲ iː k lˠ ɑ,T V R V T R V,C V C V C C V
lit-401_pasture-2,401_pasture,gluosnis,g lˠ u ə s nʲ ɪ s,T R V V S R V S,C C V V C C V C
lit-402_path-1,402_path,takas,t a k ɐ s,T V T V S,C V C V C
lit-403_way-1,403_way,kelias,k ɛ lʲ ɛ s,T V R V S,C V C V C
lit-404_road-1,404_road,gatvė,g a t ʋ eː,T V T R V,C V C C V
lit-405_village-1,405_village,kaimas,k aˑ j ɪ m ɐ s,T V R V R V S,C V C V C V C
lit-405_village-2,405_village,sodžius,s oː d ʒʲ ɪ ʊ s,S V T S V V S,C V C C V V C
lit-406_town-1,406_town,miestas,m i ə s t ɐ s,R V V S T V S,C V V C C V C
lit-407_letter-1,407_letter,laiškas,lˠ aˑ j ɪ ʃ k ɐ s,R V R V S T V S,C V C V C C V C
lit-408_book-1,408_book,knyga,k nʲ iː g ɑ,T R V T V,C C V C V
lit-409_character-1,409_character,raidė,r ɐɪˑ d eː,R V T V,C V C V
lit-410_newspaper-1,410_newspaper,laikraštis,lˠ ɐɪˑ k r ɐ ʃ tʲ ɪ s,R V T R V S T V S,C V C C V C C V C
lit-411_life-1,411_life,gyvybė,gʲ iː ʋ iː b eː,T V R V T V,C V C V C V
lit-411_life-2,411_life,gyvenimas,gʲ iː ʋ ɛ nʲ ɪ m ɐ s,T V R V R V R V S,C V C V C V C V C
lit-412_death-1,412_death,mirtis,mʲ ɪ r tʲ ɪ s,R V R T V S,C V C C V C
lit-413_grave-1,413_grave,kapas,k a p ɐ s,T V T V S,C V C V C
lit-414_church-1,414_church,bažnyčia,b ɐ ʒ n iː tʃʲ ɛ,T V S R V X V,C V C C V C V
lit-415_sin-1,415_sin,nuodėmė,n u ə d eː m eː,R V V T V R V,C V V C V C V
lit-415_sin-2,415_sin,nusidėjimas,n ʊ sʲ ɪ d eː j ɪ m ɐ s,R V S V T V R V R V S,C V C V C V C V C V C
lit-416_god-1,416_god,dievas,d i ə ʋ ɐ s,T V V R V S,C V V C V C
lit-417_worker-1,417_worker,darbininkas,d ɐ r bʲ ɪ nʲ ɪ nˑ k ɐ s,T V R T V R V R T V S,C V C C V C V C C V C
lit-418_boss-1,418_boss,šefas,ʃ ɛ f ɐ s,S V X V S,C V C V C
lit-418_boss-2,418_boss,vadovas,ʋ ɐ d oː ʋ ɐ s,R V T V R V S,C V C V C V C
lit-418_boss-3,418_boss,viršininkas,ʋʲ ɪ rˑ ʃʲ ɪ nʲ ɪ n k ɐ s,R V R S V R V R T V S,C V C C V C V C C V C
lit-419_master-1,419_master,meistras,m æˑ j ɪ s t r ɐ s,R V R V S T R V S,C V C V C C C V C
lit-420_doctor-1,420_doctor,gydytojas,g iː dʲ iː t o j ɐ s,T V T V T V R V S,C V C V C V C V C
lit-421_teacher-1,421_teacher,mokytojas,m oː kʲ iː t o j ɐ s,R V T V T V R V S,C V C V C V C V C
lit-422_money-1,422_money,pinigai,pʲ ɪ nʲ ɪ g ɐɪˑ,T V R V T V,C V C V C V
lit-423_business-1,423_business,biznis,bʲ ɪ z nʲ ɪ s,T V S R V S,C V C C V C
lit-424_shop-1,424_shop,krautuvė,k r aˑ ʊ t ʊ ʋ eː,T R V V T V R V,C C V V C V C V
lit-424_shop-2,424_shop,parduotuvė,p ɐ r d uə t ʊ ʋ eː,T V R T V T V R V,C V C C V C V C V
lit-425_price-1,425_price,kaina,k aˑ j ɪ n ɐ,T V R V R V,C V C V C V
lit-426_ware-1,426_ware,prekė,p r ɛ k eː,T R V T V,C C V C V
lit-427_benefit-1,427_benefit,nauda,n ɒʊˑ d ɑ,R V T V,C V C V
lit-427_benefit-2,427_benefit,pelnas,p ɛ lˠˑ n ɐ s,T V R R V S,C V C C V C
lit-428_wealth-1,428_wealth,turtas,t ʊ rˑ t ɐ s,T V R T V S,C V C C V C
lit-429_world-1,429_world,pasaulis,p ɐ s aˑ ʊ lʲ ɪ s,T V S V V R V S,C V C V V C V C
lit-430_country-1,430_country,žemė,ʒ ɛ m eː,S V R V,C V C V
lit-430_country-2,430_country,šalis,ʃ ɐ lʲ ɪ s,S V R V S,C V C V C
lit-431_state-1,431_state,valstija,ʋ ɐ lˠ s tʲ ɪ j ɑ,R V R S T V R V,C V C C C V C V
lit-432_king-1,432_king,karalius,k ɐ r a lʲ ɪ ʊ s,T V R V R V V S,C V C V C V V C
lit-433_power-1,433_power,galia,g ɐ lʲ ɛ,T V R V,C V C V
lit-433_power-2,433_power,valdžia,ʋ ɐ lˠ d ʒʲ ɛ,R V R T S V,C V C C C V
lit-434_border-1,434_border,riba,rʲ ɪ b ɑ,R V T V,C V C V
lit-434_border-2,434_border,siena,s i ə n ɐ,S V V R V,C V V C V
lit-435_war-1,435_war,karas,k a r ɐ s,T V R V S,C V C V C
lit-436_enemy-1,436_enemy,priešas,p r i ə ʃ ɐ s,T R V V S V S,C C V V C V C
lit-437_violence-1,437_violence,jėga,j eː g ɑ,R V T V,C V C V
lit-437_violence-2,437_violence,smurtas,s m ʊ r t ɐ s,S R V R T V S,C C V C C V C
lit-437_violence-3,437_violence,prievarta,p r i ə ʋ ɐ r t ɐ,T R V V R V R T V,C C V V C V C C V
lit-438_fight-1,438_fight,kova,k o ʋ ɑ,T V R V,C V C V
lit-439_bow-1,439_bow,lankas,lˠ ɐ nˑ k ɐ s,R V R T V S,C V C C V C
lit-440_arrow-1,440_arrow,strėlė,s t r eː lˠ eː,S T R V R V,C C C V C V
lit-441_gun-1,441_gun,šautuvas,ʃ aˑ ʊ t ʊ ʋ ɐ s,S V V T V R V S,C V V C V C V C
lit-442_mistake-1,442_mistake,klaida,k lˠ ɐɪˑ d ɑ,T R V T V,C C V C V
lit-443_lie-1,443_lie,melas,m ɛ lˠ ɐ s,R V R V S,C V C V C
lit-444_damage-1,444_damage,nuostolis,n u ə s t o lʲ ɪ s,R V V S T V R V S,C V V C C V C V C
lit-444_damage-2,444_damage,apgadinimas,ɐ p g ɐ dʲ ɪ nʲ ɪ m ɐ s,V T T V T V R V R V S,V C C V C V C V C V C
lit-445_misfortune-1,445_misfortune,nelaimė,n ɛ lˠ aˑ j ɪ m eː,R V R V R V R V,C V C V C V C V
lit-446_fault-1,446_fault,kaltė,k ɐ lˠ t eː,T V R T V,C V C C V
lit-447_age-1,447_age,amžius,aˑ m ʒʲ ɪ ʊ s,V R S V V S,V C C V V C
lit-448_end-1,448_end,pabaiga,p ɐ b ɐɪˑ g ɑ,T V T V T V,C V C V C V
lit-449_time-1,449_time,laikas,lˠ ɐɪˑ k ɐ s,R V T V S,C V C V C
lit-450_day-1,450_day,diena,d i ə n ɑ,T V V R V,C V V C V
lit-451_morning-1,451_morning,rytas,r iː t ɐ s,R V T V S,C V C V C
lit-452_noon-1,452_noon,vidurdienis,ʋʲ ɪ d ʊ r d i ə nʲ ɪ s,R V T V R T V V R V S,C V C V C C V V C V C
lit-453_evening-1,453_evening,vakaras,ʋ a k ɐ r ɐ s,R V T V R V S,C V C V C V C
lit-454_night-1,454_night,naktis,n ɐ k tʲ ɪ s,R V T T V S,C V C C V C
lit-455_week-1,455_week,savaitė,s ɐ ʋ aˑ j ɪ t eː,S V R V R V T V,C V C V C V C V
lit-456_month-1,456_month,mėnuo,m eː n uə,R V R V,C V C V
lit-457_year-1,457_year,metai,m ɛ t ɐɪˑ,R V T V,C V C V
lit-458_spring-1,458_spring,pavasaris,p ɐ ʋ a s ɐ rʲ ɪ s,T V R V S V R V S,C V C V C V C V C
