ID,Parameter_ID,Value,Segments,SegmentStructure,ConVoStructure
lit-58_moon-1,58_moon,mėnulis,m eː n ʊ lʲ ɪ s,R V R V R V S,C V C V C V C
lit-59_star-1,59_star,žvaigždė,ʒ ʋ ɐɪˑ g ʒ d eː,S R V T S T V,C C V C C C V
lit-60_air-1,60_air,oras,oː r ɐ s,V R V S,V C V C
lit-61_wind-1,61_wind,vėjas,ʋ eː j ɐ s,R V R V S,C V C V C
lit-62_wave-1,62_wave,banga,b ɐ n g ɑ,T V R T V,C V C C V
lit-62_wave-2,62_wave,vilnis,ʋʲ ɪ lˠ nʲ ɪ s,R V R R V S,C V C C V C
lit-63_water-1,63_water,vanduo,ʋ ɐ n d uə,R V R T V,C V C C V
lit-64_stone-1,64_stone,akmuo,ɐ k m uə,V T R V,V C C V
lit-65_ground-1,65_ground,žemė,ʒ ɛ m eː,S V R V,C V C V
lit-65_ground-2,65_ground,dugnas,d ʊ g n ɐ s,T V T R V S,C V C C V C
lit-66_earth-1,66_earth,žemė,ʒ ɛ m eː,S V R V,C V C V
lit-67_dust-1,67_dust,dulkės,d ʊ lˠ k eː s,T V R T V S,C V C C V C
lit-68_smoke-1,68_smoke,dūmai,d uː m ɐɪˑ,T V R V,C V C V
lit-69_spark-1,69_spark,kibirkštis,kʲ ɪ bʲ ɪ r k ʃ tʲ ɪ s,T V T V R T S T V S,C V C V C C C C V C
lit-70_fire-1,70_fire,ugnis,ʊ g nʲ ɪ s,V T R V S,V C C V C
lit-71_light-1,71_light,šviesa,ʃ ʋ i ə s ɑ,S R V V S V,C C V V C V
lit-72_shadow-1,72_shadow,paūksmė,p ɐ uː k s m eː,T V V T S R V,C V V C C C V
lit-73_weather-1,73_weather,oras,oː r ɐ s,V R V S,V C V C
lit-74_fog-1,74_fog,migla,mʲ ɪ g lˠ ɑ,R V T R V,C V C C V
lit-74_fog-2,74_fog,rūkas,r uː k ɐ s,R V T V S,C V C V C
lit-75_cloud-1,75_cloud,debesis,d ɛ b ɛ sʲ ɪ s,T V T V S V S,C V C V C V C
lit-76_rain-1,76_rain,lietus,lˠ i ə t ʊ s,R V V T V S,C V V C V C
lit-77_snow-1,77_snow,sniegas,s n i ə g ɐ s,S R V V T V S,C C V V C V C
lit-78_ice-1,78_ice,ledas,lˠ ɛ d ɐ s,R V T V S,C V C V C
lit-79_frost-1,79_frost,šalna,ʃ ɐ lˠ n ɑ,S V R R V,C V C C V
lit-80_chill-1,80_chill,šaltis,ʃ ɐ lˠˑ tʲ ɪ s,S V R T V S,C V C C V C
lit-81_heat-1,81_heat,karštis,k ɐ rˑ ʃ tʲ ɪ s,T V R S T V S,C V C C C V C
lit-82_hoarfrost-1,82_hoarfrost,šerkšnas,ʃ ɛ rˑ k ʃ n ɐ s,S V R T S R V S,C V C C C C V C
lit-83_rainbow-1,83_rainbow,vaivorykštė,ʋ ɐɪˑ ʋ oː rʲ iː k ʃ t eː,R V R V R V T S T V,C V C V C V C C C V
lit-84_thunder-1,84_thunder,perkūnas,p ɛ r k uː n ɐ s,T V R T V R V S,C V C C V C V C
lit-84_thunder-2,84_thunder,griaustinis,g rʲ ɛʊˑ s tʲ ɪ nʲ ɪ s,T R V S T V R V S,C C V C C V C V C
lit-85_current-1,85_current,tėkmė,t eː k m eː,T V T R V,C V C C V
lit-86_drop-1,86_drop,lašas,lˠ a ʃ ɐ s,R V S V S,C V C V C
lit-87_foam-1,87_foam,putos,p ʊ t o s,T V T V S,C V C V C
lit-88_dirt-1,88_dirt,purvas,p ʊ rˑ ʋ ɐ s,T V R R V S,C V C C V C
lit-89_lake-1,89_lake,ežeras,ɛ ʒ ɛ r ɐ s,V S V R V S,V C V C V C
lit-90_swamp-1,90_swamp,klampynė,k lˠ ɐ m p iː n eː,T R V R T V R V,C C V C C V C V
lit-90_swamp-2,90_swamp,liūnas,lʲ ɪ uː n ɐ s,R V V R V S,C V V C V C
lit-91_moor-1,91_moor,pelkė,p eˑ lˠ k eː,T V R T V,C V C C V
lit-92_meadow-1,92_meadow,pieva,p i ə ʋ ɐ,T V V R V,C V V C V
lit-93_forest-1,93_forest,miškas,mʲ ɪ ʃ k ɐ s,R V S T V S,C V C C V C
lit-94_hill-1,94_hill,kalva,k ɐ lˠ ʋ ɑ,T V R R V,C V C C V
lit-95_elevation-1,95_elevation,kauburys,k ɒʊˑ b ʊ r iː s,T V T V R V S,C V C V C V C
lit-96_mountain-1,96_mountain,kalnas,k aˑ lˠ n ɐ s,T V R R V S,C V C C V C
lit-97_summit-1,97_summit,viršūnė,ʋʲ ɪ r ʃ uː n eː,R V R S V R V,C V C C V C V
lit-98_cave-1,98_cave,ola,o lˠ ɑ,V R V,V C V
